Value	Temperatur	Moisture	Landcover	Landforms	Climate_Re	Red	Green	Blue	W_Ecosystm	color
95	Polar	Dry	Settlement	Plains	Polar Dry	218	194	184	Polar Dry Settlement on Plains	#DAC2B8
96	Cool Temperate	Moist	Shrubland	Mountains	Cool Temperate Moist	35	83	0	Cool Temperate Moist Shrubland on Mountains	#235300
97	Cool Temperate	Moist	Forest	Mountains	Cool Temperate Moist	6	64	0	Cool Temperate Moist Forest on Mountains	#064000
98	Cool Temperate	Moist	Sparsely or Non vegetated	Mountains	Cool Temperate Moist	56	103	5	Cool Temperate Moist Sparsely or Non vegetated on Mountains	#386705
99	Cool Temperate	Moist	Sparsely or Non vegetated	Tablelands	Cool Temperate Moist	45	47	108	Cool Temperate Moist Sparsely or Non vegetated on Tablelands	#2D2F6C
100	Cool Temperate	Moist	Shrubland	Tablelands	Cool Temperate Moist	124	135	216	Cool Temperate Moist Shrubland on Tablelands	#7C87D8
101	Cool Temperate	Moist	Forest	Tablelands	Cool Temperate Moist	71	89	181	Cool Temperate Moist Forest on Tablelands	#4759B5
102	Cool Temperate	Moist	Cropland	Tablelands	Cool Temperate Moist	99	97	160	Cool Temperate Moist Cropland on Tablelands	#6361A0
103	Cool Temperate	Moist	Cropland	Mountains	Cool Temperate Moist	33	102	5	Cool Temperate Moist Cropland on Mountains	#216605
104	Cool Temperate	Moist	Sparsely or Non vegetated	Hills	Cool Temperate Moist	57	144	31	Cool Temperate Moist Sparsely or Non vegetated on Hills	#39901F
105	Cool Temperate	Moist	Forest	Hills	Cool Temperate Moist	2	99	1	Cool Temperate Moist Forest on Hills	#026301
106	Cool Temperate	Moist	Shrubland	Hills	Cool Temperate Moist	23	123	2	Cool Temperate Moist Shrubland on Hills	#177B02
107	Cool Temperate	Moist	Grassland	Mountains	Cool Temperate Moist	26	83	0	Cool Temperate Moist Grassland on Mountains	#1A5300
108	Cool Temperate	Moist	Settlement	Hills	Cool Temperate Moist	67	109	14	Cool Temperate Moist Settlement on Hills	#436D0E
109	Cool Temperate	Moist	Grassland	Tablelands	Cool Temperate Moist	78	92	155	Cool Temperate Moist Grassland on Tablelands	#4E5C9B
110	Cool Temperate	Moist	Cropland	Hills	Cool Temperate Moist	33	144	30	Cool Temperate Moist Cropland on Hills	#21901E
111	Cool Temperate	Moist	Forest	Plains	Cool Temperate Moist	1	109	0	Cool Temperate Moist Forest on Plains	#016D00
112	Cool Temperate	Moist	Sparsely or Non vegetated	Plains	Cool Temperate Moist	55	154	10	Cool Temperate Moist Sparsely or Non vegetated on Plains	#379A0A
113	Cool Temperate	Moist	Settlement	Mountains	Cool Temperate Moist	61	67	0	Cool Temperate Moist Settlement on Mountains	#3D4300
114	Cool Temperate	Moist	Grassland	Hills	Cool Temperate Moist	22	124	10	Cool Temperate Moist Grassland on Hills	#167C0A
115	Cool Temperate	Moist	Shrubland	Plains	Cool Temperate Moist	26	131	0	Cool Temperate Moist Shrubland on Plains	#1A8300
116	Cool Temperate	Moist	Cropland	Plains	Cool Temperate Moist	29	153	10	Cool Temperate Moist Cropland on Plains	#1D990A
117	Boreal	Dry	Settlement	Hills	Boreal Dry	80	150	136	Boreal Dry Settlement on Hills	#509688
118	Cool Temperate	Moist	Snow and Ice	Mountains	Cool Temperate Moist	255	255	255	Cool Temperate Moist Snow and Ice on Mountains	#FFFFFF
119	Polar	Dry	Settlement	Mountains	Polar Dry	144	129	128	Polar Dry Settlement on Mountains	#908180
120	Cool Temperate	Moist	Settlement	Plains	Cool Temperate Moist	78	119	2	Cool Temperate Moist Settlement on Plains	#4E7702
121	Boreal	Moist	Settlement	Mountains	Boreal Moist	34	93	1	Boreal Moist Settlement on Mountains	#225D01
122	Boreal	Dry	Settlement	Mountains	Boreal Dry	102	139	34	Boreal Dry Settlement on Mountains	#668B22
123	Boreal	Dry	Settlement	Tablelands	Boreal Dry	112	123	195	Boreal Dry Settlement on Tablelands	#707BC3
124	Boreal	Moist	Snow and Ice	Mountains	Boreal Moist	255	255	255	Boreal Moist Snow and Ice on Mountains	#FFFFFF
125	Boreal	Moist	Snow and Ice	Hills	Boreal Moist	255	255	255	Boreal Moist Snow and Ice on Hills	#FFFFFF
126	Boreal	Moist	Snow and Ice	Plains	Boreal Moist	255	255	255	Boreal Moist Snow and Ice on Plains	#FFFFFF
127	Polar	Moist	Settlement	Hills	Polar Moist	172	154	138	Polar Moist Settlement on Hills	#AC9A8A
128	Cool Temperate	Moist	Grassland	Plains	Cool Temperate Moist	22	133	0	Cool Temperate Moist Grassland on Plains	#168500
129	Cool Temperate	Moist	Settlement	Tablelands	Cool Temperate Moist	47	63	130	Cool Temperate Moist Settlement on Tablelands	#2F3F82
130	Boreal	Dry	Snow and Ice	Mountains	Boreal Dry	255	255	255	Boreal Dry Snow and Ice on Mountains	#FFFFFF
131	Boreal	Moist	Snow and Ice	Tablelands	Boreal Moist	255	255	255	Boreal Moist Snow and Ice on Tablelands	#FFFFFF
132	Cool Temperate	Moist	Snow and Ice	Plains	Cool Temperate Moist	255	255	255	Cool Temperate Moist Snow and Ice on Plains	#FFFFFF
133	Cool Temperate	Moist	Snow and Ice	Tablelands	Cool Temperate Moist	255	255	255	Cool Temperate Moist Snow and Ice on Tablelands	#FFFFFF
134	Cool Temperate	Moist	Snow and Ice	Hills	Cool Temperate Moist	255	255	255	Cool Temperate Moist Snow and Ice on Hills	#FFFFFF
135	Cool Temperate	Dry	Sparsely or Non vegetated	Mountains	Cool Temperate Dry	116	149	49	Cool Temperate Dry Sparsely or Non vegetated on Mountains	#749531
136	Cool Temperate	Dry	Shrubland	Mountains	Cool Temperate Dry	95	131	22	Cool Temperate Dry Shrubland on Mountains	#5F8316
137	Cool Temperate	Dry	Forest	Mountains	Cool Temperate Dry	54	113	21	Cool Temperate Dry Forest on Mountains	#367115
138	Cool Temperate	Dry	Forest	Plains	Cool Temperate Dry	47	155	22	Cool Temperate Dry Forest on Plains	#2F9B16
139	Cool Temperate	Dry	Forest	Hills	Cool Temperate Dry	48	148	38	Cool Temperate Dry Forest on Hills	#309426
140	Cool Temperate	Dry	Forest	Tablelands	Cool Temperate Dry	102	121	176	Cool Temperate Dry Forest on Tablelands	#6679B0
141	Cool Temperate	Dry	Shrubland	Tablelands	Cool Temperate Dry	146	159	198	Cool Temperate Dry Shrubland on Tablelands	#929FC6
142	Cool Temperate	Dry	Grassland	Mountains	Cool Temperate Dry	82	134	31	Cool Temperate Dry Grassland on Mountains	#52861F
143	Cool Temperate	Dry	Shrubland	Hills	Cool Temperate Dry	79	166	40	Cool Temperate Dry Shrubland on Hills	#4FA628
144	Cool Temperate	Dry	Shrubland	Plains	Cool Temperate Dry	89	176	22	Cool Temperate Dry Shrubland on Plains	#59B016
145	Cool Temperate	Dry	Cropland	Plains	Cool Temperate Dry	89	191	56	Cool Temperate Dry Cropland on Plains	#59BF38
146	Cool Temperate	Dry	Cropland	Hills	Cool Temperate Dry	97	186	84	Cool Temperate Dry Cropland on Hills	#61BA54
147	Cool Temperate	Dry	Sparsely or Non vegetated	Hills	Cool Temperate Dry	119	186	84	Cool Temperate Dry Sparsely or Non vegetated on Hills	#77BA54
148	Cool Temperate	Dry	Cropland	Mountains	Cool Temperate Dry	94	148	49	Cool Temperate Dry Cropland on Mountains	#5E9431
149	Cool Temperate	Dry	Grassland	Hills	Cool Temperate Dry	77	164	57	Cool Temperate Dry Grassland on Hills	#4DA439
150	Cool Temperate	Dry	Cropland	Tablelands	Cool Temperate Dry	128	127	176	Cool Temperate Dry Cropland on Tablelands	#807FB0
151	Cool Temperate	Dry	Sparsely or Non vegetated	Plains	Cool Temperate Dry	120	194	58	Cool Temperate Dry Sparsely or Non vegetated on Plains	#78C23A
152	Cool Temperate	Dry	Sparsely or Non vegetated	Tablelands	Cool Temperate Dry	77	81	136	Cool Temperate Dry Sparsely or Non vegetated on Tablelands	#4D5188
153	Cool Temperate	Dry	Grassland	Plains	Cool Temperate Dry	81	176	37	Cool Temperate Dry Grassland on Plains	#51B025
154	Cool Temperate	Dry	Settlement	Hills	Cool Temperate Dry	122	154	61	Cool Temperate Dry Settlement on Hills	#7A9A3D
155	Cool Temperate	Dry	Settlement	Tablelands	Cool Temperate Dry	81	96	152	Cool Temperate Dry Settlement on Tablelands	#516098
156	Cool Temperate	Dry	Grassland	Tablelands	Cool Temperate Dry	107	121	172	Cool Temperate Dry Grassland on Tablelands	#6B79AC
157	Cool Temperate	Dry	Settlement	Plains	Cool Temperate Dry	140	163	40	Cool Temperate Dry Settlement on Plains	#8CA328
158	Cool Temperate	Dry	Settlement	Mountains	Cool Temperate Dry	111	110	35	Cool Temperate Dry Settlement on Mountains	#6F6E23
159	Warm Temperate	Moist	Grassland	Plains	Warm Temperate Moist	91	184	24	Warm Temperate Moist Grassland on Plains	#5BB818
160	Warm Temperate	Moist	Cropland	Plains	Warm Temperate Moist	105	207	54	Warm Temperate Moist Cropland on Plains	#69CF36
161	Warm Temperate	Moist	Settlement	Plains	Warm Temperate Moist	163	170	28	Warm Temperate Moist Settlement on Plains	#A3AA1C
162	Warm Temperate	Moist	Sparsely or Non vegetated	Plains	Warm Temperate Moist	141	205	53	Warm Temperate Moist Sparsely or Non vegetated on Plains	#8DCD35
163	Warm Temperate	Moist	Forest	Hills	Warm Temperate Moist	47	146	24	Warm Temperate Moist Forest on Hills	#2F9218
164	Warm Temperate	Moist	Grassland	Hills	Warm Temperate Moist	86	172	49	Warm Temperate Moist Grassland on Hills	#56AC31
165	Warm Temperate	Moist	Shrubland	Hills	Warm Temperate Moist	88	172	29	Warm Temperate Moist Shrubland on Hills	#58AC1D
166	Warm Temperate	Moist	Forest	Plains	Warm Temperate Moist	45	158	6	Warm Temperate Moist Forest on Plains	#2D9E06
167	Warm Temperate	Moist	Shrubland	Plains	Warm Temperate Moist	101	184	9	Warm Temperate Moist Shrubland on Plains	#65B809
168	Warm Temperate	Moist	Cropland	Hills	Warm Temperate Moist	112	198	86	Warm Temperate Moist Cropland on Hills	#70C656
169	Warm Temperate	Moist	Settlement	Hills	Warm Temperate Moist	136	158	52	Warm Temperate Moist Settlement on Hills	#889E34
170	Warm Temperate	Moist	Sparsely or Non vegetated	Hills	Warm Temperate Moist	137	195	87	Warm Temperate Moist Sparsely or Non vegetated on Hills	#89C357
171	Warm Temperate	Moist	Grassland	Mountains	Warm Temperate Moist	86	129	14	Warm Temperate Moist Grassland on Mountains	#56810E
172	Warm Temperate	Moist	Settlement	Mountains	Warm Temperate Moist	105	89	18	Warm Temperate Moist Settlement on Mountains	#695912
173	Warm Temperate	Moist	Cropland	Mountains	Warm Temperate Moist	100	150	37	Warm Temperate Moist Cropland on Mountains	#649625
174	Warm Temperate	Moist	Sparsely or Non vegetated	Mountains	Warm Temperate Moist	126	149	37	Warm Temperate Moist Sparsely or Non vegetated on Mountains	#7E9525
175	Warm Temperate	Moist	Shrubland	Mountains	Warm Temperate Moist	102	130	4	Warm Temperate Moist Shrubland on Mountains	#668204
176	Warm Temperate	Moist	Forest	Mountains	Warm Temperate Moist	49	105	3	Warm Temperate Moist Forest on Mountains	#316903
177	Warm Temperate	Moist	Settlement	Tablelands	Warm Temperate Moist	62	63	152	Warm Temperate Moist Settlement on Tablelands	#3E3F98
178	Warm Temperate	Moist	Cropland	Tablelands	Warm Temperate Moist	61	89	194	Warm Temperate Moist Cropland on Tablelands	#3D59C2
179	Warm Temperate	Moist	Grassland	Tablelands	Warm Temperate Moist	50	73	167	Warm Temperate Moist Grassland on Tablelands	#3249A7
180	Warm Temperate	Moist	Forest	Tablelands	Warm Temperate Moist	69	72	136	Warm Temperate Moist Forest on Tablelands	#454888
181	Warm Temperate	Moist	Shrubland	Tablelands	Warm Temperate Moist	105	97	199	Warm Temperate Moist Shrubland on Tablelands	#6961C7
182	Warm Temperate	Moist	Sparsely or Non vegetated	Tablelands	Warm Temperate Moist	91	113	125	Warm Temperate Moist Sparsely or Non vegetated on Tablelands	#5B717D
183	Warm Temperate	Dry	Shrubland	Mountains	Warm Temperate Dry	144	160	38	Warm Temperate Dry Shrubland on Mountains	#90A026
184	Warm Temperate	Dry	Cropland	Mountains	Warm Temperate Dry	141	179	80	Warm Temperate Dry Cropland on Mountains	#8DB350
185	Warm Temperate	Dry	Settlement	Mountains	Warm Temperate Dry	144	124	59	Warm Temperate Dry Settlement on Mountains	#907C3B
186	Warm Temperate	Dry	Grassland	Mountains	Warm Temperate Dry	132	162	55	Warm Temperate Dry Grassland on Mountains	#84A237
187	Warm Temperate	Dry	Cropland	Plains	Warm Temperate Dry	155	228	99	Warm Temperate Dry Cropland on Plains	#9BE463
188	Warm Temperate	Dry	Settlement	Plains	Warm Temperate Dry	189	190	72	Warm Temperate Dry Settlement on Plains	#BDBE48
189	Warm Temperate	Dry	Grassland	Plains	Warm Temperate Dry	137	208	66	Warm Temperate Dry Grassland on Plains	#89D042
190	Warm Temperate	Dry	Cropland	Hills	Warm Temperate Dry	153	217	128	Warm Temperate Dry Cropland on Hills	#99D980
191	Warm Temperate	Dry	Settlement	Hills	Warm Temperate Dry	173	187	99	Warm Temperate Dry Settlement on Hills	#ADBB63
192	Warm Temperate	Dry	Grassland	Hills	Warm Temperate Dry	133	198	95	Warm Temperate Dry Grassland on Hills	#85C65F
193	Warm Temperate	Dry	Shrubland	Hills	Warm Temperate Dry	136	198	73	Warm Temperate Dry Shrubland on Hills	#88C649
194	Warm Temperate	Dry	Forest	Mountains	Warm Temperate Dry	96	139	37	Warm Temperate Dry Forest on Mountains	#608B25
195	Warm Temperate	Dry	Forest	Plains	Warm Temperate Dry	94	186	42	Warm Temperate Dry Forest on Plains	#5EBA2A
196	Warm Temperate	Dry	Shrubland	Plains	Warm Temperate Dry	142	207	45	Warm Temperate Dry Shrubland on Plains	#8ECF2D
197	Warm Temperate	Dry	Sparsely or Non vegetated	Hills	Warm Temperate Dry	176	217	128	Warm Temperate Dry Sparsely or Non vegetated on Hills	#B0D980
198	Warm Temperate	Dry	Cropland	Tablelands	Warm Temperate Dry	95	117	206	Warm Temperate Dry Cropland on Tablelands	#5F75CE
199	Warm Temperate	Dry	Forest	Hills	Warm Temperate Dry	91	175	66	Warm Temperate Dry Forest on Hills	#5BAF42
200	Warm Temperate	Dry	Settlement	Tablelands	Warm Temperate Dry	95	96	169	Warm Temperate Dry Settlement on Tablelands	#5F60A9
201	Warm Temperate	Dry	Sparsely or Non vegetated	Plains	Warm Temperate Dry	179	227	99	Warm Temperate Dry Sparsely or Non vegetated on Plains	#B3E363
202	Warm Temperate	Dry	Forest	Tablelands	Warm Temperate Dry	100	103	156	Warm Temperate Dry Forest on Tablelands	#64679C
203	Warm Temperate	Dry	Shrubland	Tablelands	Warm Temperate Dry	132	125	212	Warm Temperate Dry Shrubland on Tablelands	#847DD4
204	Warm Temperate	Dry	Grassland	Tablelands	Warm Temperate Dry	82	103	184	Warm Temperate Dry Grassland on Tablelands	#5267B8
205	Warm Temperate	Dry	Sparsely or Non vegetated	Mountains	Warm Temperate Dry	163	180	78	Warm Temperate Dry Sparsely or Non vegetated on Mountains	#A3B44E
206	Warm Temperate	Dry	Sparsely or Non vegetated	Tablelands	Warm Temperate Dry	120	139	204	Warm Temperate Dry Sparsely or Non vegetated on Tablelands	#788BCC
207	Cool Temperate	Desert	Sparsely or Non vegetated	Plains	Cool Temperate Desert	179	227	130	Cool Temperate Desert Sparsely or Non vegetated on Plains	#B3E382
208	Cool Temperate	Desert	Sparsely or Non vegetated	Hills	Cool Temperate Desert	177	221	151	Cool Temperate Desert Sparsely or Non vegetated on Hills	#B1DD97
209	Cool Temperate	Desert	Cropland	Plains	Cool Temperate Desert	160	227	131	Cool Temperate Desert Cropland on Plains	#A0E383
210	Cool Temperate	Desert	Grassland	Plains	Cool Temperate Desert	150	214	112	Cool Temperate Desert Grassland on Plains	#96D670
211	Cool Temperate	Desert	Cropland	Hills	Cool Temperate Desert	163	221	151	Cool Temperate Desert Cropland on Hills	#A3DD97
212	Cool Temperate	Desert	Settlement	Plains	Cool Temperate Desert	195	208	116	Cool Temperate Desert Settlement on Plains	#C3D074
213	Cool Temperate	Desert	Sparsely or Non vegetated	Mountains	Cool Temperate Desert	175	195	120	Cool Temperate Desert Sparsely or Non vegetated on Mountains	#AFC378
214	Cool Temperate	Desert	Grassland	Hills	Cool Temperate Desert	149	208	130	Cool Temperate Desert Grassland on Hills	#95D082
215	Cool Temperate	Desert	Settlement	Hills	Cool Temperate Desert	180	200	131	Cool Temperate Desert Settlement on Hills	#B4C883
